ensembl,gene_symbol,cancer_group,status,cohort,specimen_descriptor,sample_count,efo_code,mondo_code,ncit_code,version
ENSG00000101544,ADNP2,Acute Lymphoblastic Leukemia,amplification,All Cohorts,Primary Tumor,1,EFO_0000220,MONDO_0004967,NCIT_C3167,NA
ENSG00000101544,ADNP2,Acute Lymphoblastic Leukemia,amplification,TARGET,Primary Tumor,1,EFO_0000220,MONDO_0004967,NCIT_C3167,NA
ENSG00000101544,ADNP2,Acute Lymphoblastic Leukemia,gain,All Cohorts,Primary Tumor,75,EFO_0000220,MONDO_0004967,NCIT_C3167,NA
ENSG00000101544,ADNP2,Acute Lymphoblastic Leukemia,gain,TARGET,Primary Tumor,75,EFO_0000220,MONDO_0004967,NCIT_C3167,NA
ENSG00000101544,ADNP2,Acute Lymphoblastic Leukemia,loss,All Cohorts,Primary Tumor,198,EFO_0000220,MONDO_0004967,NCIT_C3167,NA
ENSG00000101544,ADNP2,Acute Lymphoblastic Leukemia,loss,All Cohorts,Relapse Tumor,5,EFO_0000220,MONDO_0004967,NCIT_C3167,NA
ENSG00000101544,ADNP2,Acute Lymphoblastic Leukemia,loss,TARGET,Primary Tumor,198,EFO_0000220,MONDO_0004967,NCIT_C3167,NA
ENSG00000101544,ADNP2,Acute Lymphoblastic Leukemia,loss,TARGET,Relapse Tumor,5,EFO_0000220,MONDO_0004967,NCIT_C3167,NA
ENSG00000101544,ADNP2,Acute Lymphoblastic Leukemia,neutral,All Cohorts,Primary Tumor,438,EFO_0000220,MONDO_0004967,NCIT_C3167,NA
ENSG00000101544,ADNP2,Acute Lymphoblastic Leukemia,neutral,All Cohorts,Relapse Tumor,12,EFO_0000220,MONDO_0004967,NCIT_C3167,NA
ENSG00000101544,ADNP2,Acute Lymphoblastic Leukemia,neutral,TARGET,Primary Tumor,438,EFO_0000220,MONDO_0004967,NCIT_C3167,NA
ENSG00000101544,ADNP2,Acute Lymphoblastic Leukemia,neutral,TARGET,Relapse Tumor,12,EFO_0000220,MONDO_0004967,NCIT_C3167,NA
ENSG00000101544,ADNP2,Acute Myeloid Leukemia,loss,All Cohorts,Primary Tumor,7,EFO_0000222,MONDO_0018874,NCIT_C3171,NA
ENSG00000101544,ADNP2,Acute Myeloid Leukemia,loss,All Cohorts,Relapse Tumor,5,EFO_0000222,MONDO_0018874,NCIT_C3171,NA
ENSG00000101544,ADNP2,Acute Myeloid Leukemia,loss,TARGET,Primary Tumor,7,EFO_0000222,MONDO_0018874,NCIT_C3171,NA
ENSG00000101544,ADNP2,Acute Myeloid Leukemia,loss,TARGET,Relapse Tumor,5,EFO_0000222,MONDO_0018874,NCIT_C3171,NA
ENSG00000101544,ADNP2,Acute Myeloid Leukemia,neutral,All Cohorts,Primary Tumor,9,EFO_0000222,MONDO_0018874,NCIT_C3171,NA
ENSG00000101544,ADNP2,Acute Myeloid Leukemia,neutral,All Cohorts,Relapse Tumor,10,EFO_0000222,MONDO_0018874,NCIT_C3171,NA
ENSG00000101544,ADNP2,Acute Myeloid Leukemia,neutral,TARGET,Primary Tumor,9,EFO_0000222,MONDO_0018874,NCIT_C3171,NA
ENSG00000101544,ADNP2,Acute Myeloid Leukemia,neutral,TARGET,Relapse Tumor,10,EFO_0000222,MONDO_0018874,NCIT_C3171,NA
ENSG00000101544,ADNP2,Chordoma,loss,All Cohorts,Primary Tumor,1,Orphanet_178,MONDO_0008978,NCIT_C2947,NA
ENSG00000101544,ADNP2,Chordoma,loss,PBTA,Primary Tumor,1,Orphanet_178,MONDO_0008978,NCIT_C2947,NA
ENSG00000101544,ADNP2,Diffuse intrinsic pontine glioma,loss,All Cohorts,Primary Tumor,5,EFO_1000026,MONDO_0006033,NCIT_C94764,NA
ENSG00000101544,ADNP2,Diffuse intrinsic pontine glioma,loss,PBTA,Primary Tumor,5,EFO_1000026,MONDO_0006033,NCIT_C94764,NA
