Gene_symbol	targetFromSourceId	transcript_id	Gene_Feature	Dataset	Disease	diseaseFromSourceMappedId	MONDO	Median_TPM	RNA_Correlation	Transcript_Representation	Probe_ID	Chromosome	Location	Beta_Q1	Beta_Q2	Beta_Median	Beta_Q4	Beta_Q5	datatypeId	chop_uuid	datasourceId
BPTF	ENSG00000171634	ENST00000306378	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.28	NA	NA	cg00712547	chr17	67825629	0.0296816024381585	0.0311393517252714	0.0325971010123843	0.041885417050848	0.0511737330893117	pediatric_cancer	461c6fc7-9e4f-4bea-86e6-181289e5a700	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000544778	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0.38	NA	NA	cg00712547	chr17	67825629	0.0296816024381585	0.0311393517252714	0.0325971010123843	0.041885417050848	0.0511737330893117	pediatric_cancer	6d048f38-c3e2-431d-bdaf-0d1aee338cc4	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000306378	five_prime_UTR	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.28	NA	NA	cg00712547	chr17	67825629	0.0296816024381585	0.0311393517252714	0.0325971010123843	0.041885417050848	0.0511737330893117	pediatric_cancer	a7c49619-c796-4453-9505-324f5069a9b8	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000544778	five_prime_UTR	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0.38	NA	NA	cg00712547	chr17	67825629	0.0296816024381585	0.0311393517252714	0.0325971010123843	0.041885417050848	0.0511737330893117	pediatric_cancer	d41a7571-b28c-4ba7-8a89-663ecd302260	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000321892	promoter	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.66	NA	NA	cg00712547	chr17	67825629	0.0296816024381585	0.0311393517252714	0.0325971010123843	0.041885417050848	0.0511737330893117	pediatric_cancer	508b8e59-b455-44f6-a5af-9fdd522047c1	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000342579	promoter	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg00712547	chr17	67825629	0.0296816024381585	0.0311393517252714	0.0325971010123843	0.041885417050848	0.0511737330893117	pediatric_cancer	c2efcb5e-060e-4247-aac9-4563eec4d3a1	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000644067	promoter	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	7.69	NA	NA	cg00712547	chr17	67825629	0.0296816024381585	0.0311393517252714	0.0325971010123843	0.041885417050848	0.0511737330893117	pediatric_cancer	34d571f4-3e94-478f-8ac0-fa718c39a58c	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000306378	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.28	NA	NA	cg02530753	chr17	67959751	0.89337478661132	0.895521628853859	0.897668471096398	0.915199701113535	0.932730931130672	pediatric_cancer	6b9470d7-c875-419f-9d67-c69213532d96	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000321892	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.66	NA	NA	cg02530753	chr17	67959751	0.89337478661132	0.895521628853859	0.897668471096398	0.915199701113535	0.932730931130672	pediatric_cancer	306e1c4e-72c6-46d9-bcfc-33b989d0ab53	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000342579	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg02530753	chr17	67959751	0.89337478661132	0.895521628853859	0.897668471096398	0.915199701113535	0.932730931130672	pediatric_cancer	db492b6c-66aa-4416-9662-cf9e779030b9	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000424123	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg02530753	chr17	67959751	0.89337478661132	0.895521628853859	0.897668471096398	0.915199701113535	0.932730931130672	pediatric_cancer	ea1847cd-ad27-47d5-bfa0-8bb1d977c101	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000580465	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	9.34	NA	NA	cg02530753	chr17	67959751	0.89337478661132	0.895521628853859	0.897668471096398	0.915199701113535	0.932730931130672	pediatric_cancer	9460c28c-b5fd-417a-98a0-8e7012456369	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000581258	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	7.83	NA	NA	cg02530753	chr17	67959751	0.89337478661132	0.895521628853859	0.897668471096398	0.915199701113535	0.932730931130672	pediatric_cancer	7ebf643c-7622-4242-add4-ea3a5dd833f8	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000644067	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	7.69	NA	NA	cg02530753	chr17	67959751	0.89337478661132	0.895521628853859	0.897668471096398	0.915199701113535	0.932730931130672	pediatric_cancer	0dfa74d8-74a6-4762-9bc1-1598fae515b5	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000306378	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.28	NA	NA	cg03215657	chr17	67827414	0.11100234879115	0.146645862239064	0.182289375686978	0.188177873887927	0.194066372088877	pediatric_cancer	5d284f5f-4ba9-4b50-a506-8a8085665c08	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000321892	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.66	NA	NA	cg03215657	chr17	67827414	0.11100234879115	0.146645862239064	0.182289375686978	0.188177873887927	0.194066372088877	pediatric_cancer	58ca2692-d22b-44c5-93f3-6d3deed61e75	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000342579	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg03215657	chr17	67827414	0.11100234879115	0.146645862239064	0.182289375686978	0.188177873887927	0.194066372088877	pediatric_cancer	23b2bc96-75c6-4b10-9185-fb2340d47c2d	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000424123	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg03215657	chr17	67827414	0.11100234879115	0.146645862239064	0.182289375686978	0.188177873887927	0.194066372088877	pediatric_cancer	5fd48f0c-9ac8-4068-9ae3-31e0d66579a8	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000544778	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0.38	NA	NA	cg03215657	chr17	67827414	0.11100234879115	0.146645862239064	0.182289375686978	0.188177873887927	0.194066372088877	pediatric_cancer	7de556e1-9be4-44ca-8c58-a79b8ad11334	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000644067	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	7.69	NA	NA	cg03215657	chr17	67827414	0.11100234879115	0.146645862239064	0.182289375686978	0.188177873887927	0.194066372088877	pediatric_cancer	e57d9c00-6ae2-4f31-8316-33ba48fba289	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000306378	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.28	NA	NA	cg03423234	chr17	67943601	0.727395121133136	0.782334972012683	0.837274822892229	0.840758814405463	0.844242805918697	pediatric_cancer	ddd965b3-2523-4dac-8e2d-edcfde75ec50	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000321892	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.66	NA	NA	cg03423234	chr17	67943601	0.727395121133136	0.782334972012683	0.837274822892229	0.840758814405463	0.844242805918697	pediatric_cancer	caa9de7f-4ef6-4128-9ea3-c38df3bf0d03	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000342579	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg03423234	chr17	67943601	0.727395121133136	0.782334972012683	0.837274822892229	0.840758814405463	0.844242805918697	pediatric_cancer	bed6c9ea-b5fd-4d51-a0d6-4dba60ef3915	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000424123	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg03423234	chr17	67943601	0.727395121133136	0.782334972012683	0.837274822892229	0.840758814405463	0.844242805918697	pediatric_cancer	275534b1-6a26-4f68-9061-82bee06779a1	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000544778	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0.38	NA	NA	cg03423234	chr17	67943601	0.727395121133136	0.782334972012683	0.837274822892229	0.840758814405463	0.844242805918697	pediatric_cancer	e1f263f7-596e-45fe-9681-0ce81a77d34b	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000577770	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg03423234	chr17	67943601	0.727395121133136	0.782334972012683	0.837274822892229	0.840758814405463	0.844242805918697	pediatric_cancer	4864f4af-f94d-45f8-870c-d7c86b083959	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000580465	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	9.34	NA	NA	cg03423234	chr17	67943601	0.727395121133136	0.782334972012683	0.837274822892229	0.840758814405463	0.844242805918697	pediatric_cancer	d6fe4343-6ba3-439b-b75d-637b48835a05	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000584931	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	3.07	NA	NA	cg03423234	chr17	67943601	0.727395121133136	0.782334972012683	0.837274822892229	0.840758814405463	0.844242805918697	pediatric_cancer	9a41c5eb-da83-4135-848f-b30b0451259f	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000644067	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	7.69	NA	NA	cg03423234	chr17	67943601	0.727395121133136	0.782334972012683	0.837274822892229	0.840758814405463	0.844242805918697	pediatric_cancer	f248603f-3643-4ac7-9c76-e6c1b3cfa43f	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000306378	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.28	NA	NA	cg04054373	chr17	67929337	0.778027415748082	0.802474288322444	0.826921160896806	0.843519684254469	0.860118207612131	pediatric_cancer	2c38b70e-5b29-4d23-970f-331eec9304eb	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000321892	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.66	NA	NA	cg04054373	chr17	67929337	0.778027415748082	0.802474288322444	0.826921160896806	0.843519684254469	0.860118207612131	pediatric_cancer	f912c09e-8981-4734-acc9-c718854179f7	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000342579	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg04054373	chr17	67929337	0.778027415748082	0.802474288322444	0.826921160896806	0.843519684254469	0.860118207612131	pediatric_cancer	74765455-5995-49e0-97fe-6b3e66708303	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000424123	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg04054373	chr17	67929337	0.778027415748082	0.802474288322444	0.826921160896806	0.843519684254469	0.860118207612131	pediatric_cancer	99b100dc-c1a5-432a-8afe-20f2cb33cc5f	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000544778	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0.38	NA	NA	cg04054373	chr17	67929337	0.778027415748082	0.802474288322444	0.826921160896806	0.843519684254469	0.860118207612131	pediatric_cancer	3ed1475a-cf5c-4820-adb4-70360f1ee7ca	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000582467	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	5.64	NA	NA	cg04054373	chr17	67929337	0.778027415748082	0.802474288322444	0.826921160896806	0.843519684254469	0.860118207612131	pediatric_cancer	d649682b-5fae-475e-8695-796c915c02d4	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000644067	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	7.69	NA	NA	cg04054373	chr17	67929337	0.778027415748082	0.802474288322444	0.826921160896806	0.843519684254469	0.860118207612131	pediatric_cancer	8d4c5d82-0365-4b92-a827-9221cbc09fb0	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000306378	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.28	NA	NA	cg04798252	chr17	67854317	0.510943905322349	0.637260784111717	0.763577662901084	0.796236622808256	0.828895582715428	pediatric_cancer	b0ca3dd1-bbe5-4743-b354-9c20ca6bd5d6	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000321892	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.66	NA	NA	cg04798252	chr17	67854317	0.510943905322349	0.637260784111717	0.763577662901084	0.796236622808256	0.828895582715428	pediatric_cancer	e3e64812-fa40-44dd-b344-87f20f785e7b	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000342579	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg04798252	chr17	67854317	0.510943905322349	0.637260784111717	0.763577662901084	0.796236622808256	0.828895582715428	pediatric_cancer	b95f2948-e416-45de-b28c-937a3ca46941	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000424123	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg04798252	chr17	67854317	0.510943905322349	0.637260784111717	0.763577662901084	0.796236622808256	0.828895582715428	pediatric_cancer	f1c28ace-6061-40ee-ac52-bc02ee60f51b	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000544778	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0.38	NA	NA	cg04798252	chr17	67854317	0.510943905322349	0.637260784111717	0.763577662901084	0.796236622808256	0.828895582715428	pediatric_cancer	cd27a87c-cd04-4c9c-bf4e-c3a092d43e58	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000644067	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	7.69	NA	NA	cg04798252	chr17	67854317	0.510943905322349	0.637260784111717	0.763577662901084	0.796236622808256	0.828895582715428	pediatric_cancer	51594bb4-2482-44c1-95c4-568fc148c417	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000306378	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.28	NA	NA	cg05271336	chr17	67912061	0.832485938450371	0.845817689686049	0.859149440921726	0.876416773019661	0.893684105117596	pediatric_cancer	e18dd304-e1e5-40e1-a975-d8a0d1d089eb	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000321892	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.66	NA	NA	cg05271336	chr17	67912061	0.832485938450371	0.845817689686049	0.859149440921726	0.876416773019661	0.893684105117596	pediatric_cancer	e0c36a2e-26f5-481e-aef0-76e17149dcef	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000342579	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg05271336	chr17	67912061	0.832485938450371	0.845817689686049	0.859149440921726	0.876416773019661	0.893684105117596	pediatric_cancer	f86a0bea-8ece-4168-925a-3e3739db4646	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000424123	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg05271336	chr17	67912061	0.832485938450371	0.845817689686049	0.859149440921726	0.876416773019661	0.893684105117596	pediatric_cancer	b8572fcf-3b40-4c10-9b4e-f1bbc7a945b3	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000544778	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0.38	NA	NA	cg05271336	chr17	67912061	0.832485938450371	0.845817689686049	0.859149440921726	0.876416773019661	0.893684105117596	pediatric_cancer	25974191-25fc-423e-bcaa-2bdaa8f1cb9a	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000644067	exon	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	7.69	NA	NA	cg05271336	chr17	67912061	0.832485938450371	0.845817689686049	0.859149440921726	0.876416773019661	0.893684105117596	pediatric_cancer	3d127e7a-8b7c-4e7a-82dc-bf77588f98b6	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000306378	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.28	NA	NA	cg05823124	chr17	67836284	0.276037652660037	0.315421809761929	0.354805966863822	0.409863059448451	0.464920152033081	pediatric_cancer	7ba1936f-f881-406a-bae3-7904618010c1	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000321892	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	2.66	NA	NA	cg05823124	chr17	67836284	0.276037652660037	0.315421809761929	0.354805966863822	0.409863059448451	0.464920152033081	pediatric_cancer	07f2ede1-7fba-4aee-9a36-29028e483d5a	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000342579	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg05823124	chr17	67836284	0.276037652660037	0.315421809761929	0.354805966863822	0.409863059448451	0.464920152033081	pediatric_cancer	8fdf03f1-5fe4-45d4-a81c-8c8bdebea7fb	chop_isoform_level_methylation
BPTF	ENSG00000171634	ENST00000424123	intron	PBTA	Neuroblastoma	EFO_0000621	MONDO_0005072	0	NA	NA	cg05823124	chr17	67836284	0.276037652660037	0.315421809761929	0.354805966863822	0.409863059448451	0.464920152033081	pediatric_cancer	38b6f5c0-360c-4578-b1d0-e02f8770f5b3	chop_isoform_level_methylation
